"","Cohort","Population","Sample"
"607","EUR","GBR","HG00096"
"608","EUR","GBR","HG00097"
"609","EUR","GBR","HG00099"
"610","EUR","GBR","HG00100"
"611","EUR","GBR","HG00101"
"612","EUR","GBR","HG00102"
"613","EUR","GBR","HG00103"
"614","EUR","GBR","HG00105"
"615","EUR","GBR","HG00106"
"616","EUR","GBR","HG00107"
"617","EUR","GBR","HG00108"
"618","EUR","GBR","HG00109"
"619","EUR","GBR","HG00110"
"620","EUR","GBR","HG00111"
"621","EUR","GBR","HG00112"
"622","EUR","GBR","HG00113"
"623","EUR","GBR","HG00114"
"624","EUR","GBR","HG00115"
"625","EUR","GBR","HG00116"
"626","EUR","GBR","HG00117"
"627","EUR","GBR","HG00118"
"628","EUR","GBR","HG00119"
"629","EUR","GBR","HG00120"
"630","EUR","GBR","HG00121"
"631","EUR","GBR","HG00122"
"632","EUR","GBR","HG00123"
"633","EUR","GBR","HG00125"
"634","EUR","GBR","HG00126"
"635","EUR","GBR","HG00127"
"636","EUR","GBR","HG00128"
"637","EUR","GBR","HG00129"
"638","EUR","GBR","HG00130"
"639","EUR","GBR","HG00131"
"640","EUR","GBR","HG00132"
"641","EUR","GBR","HG00133"
"642","EUR","GBR","HG00136"
"643","EUR","GBR","HG00137"
"644","EUR","GBR","HG00138"
"645","EUR","GBR","HG00139"
"646","EUR","GBR","HG00140"
"647","EUR","GBR","HG00141"
"648","EUR","GBR","HG00142"
"649","EUR","GBR","HG00143"
"650","EUR","GBR","HG00145"
"651","EUR","GBR","HG00146"
"652","EUR","GBR","HG00148"
"653","EUR","GBR","HG00149"
"654","EUR","GBR","HG00150"
"655","EUR","GBR","HG00151"
"656","EUR","GBR","HG00154"
"657","EUR","GBR","HG00155"
"658","EUR","GBR","HG00157"
"659","EUR","GBR","HG00158"
"660","EUR","GBR","HG00159"
"661","EUR","GBR","HG00160"
"662","EUR","FIN","HG00171"
"663","EUR","FIN","HG00173"
"664","EUR","FIN","HG00174"
"665","EUR","FIN","HG00176"
"666","EUR","FIN","HG00177"
"667","EUR","FIN","HG00178"
"668","EUR","FIN","HG00179"
"669","EUR","FIN","HG00180"
"670","EUR","FIN","HG00181"
"671","EUR","FIN","HG00182"
"672","EUR","FIN","HG00183"
"673","EUR","FIN","HG00185"
"674","EUR","FIN","HG00186"
"675","EUR","FIN","HG00187"
"676","EUR","FIN","HG00188"
"677","EUR","FIN","HG00189"
"678","EUR","FIN","HG00190"
"679","EUR","GBR","HG00231"
"680","EUR","GBR","HG00232"
"681","EUR","GBR","HG00233"
"682","EUR","GBR","HG00234"
"683","EUR","GBR","HG00235"
"684","EUR","GBR","HG00236"
"685","EUR","GBR","HG00237"
"686","EUR","GBR","HG00238"
"687","EUR","GBR","HG00239"
"688","EUR","GBR","HG00240"
"689","EUR","GBR","HG00242"
"690","EUR","GBR","HG00243"
"691","EUR","GBR","HG00244"
"692","EUR","GBR","HG00245"
"693","EUR","GBR","HG00246"
"694","EUR","GBR","HG00250"
"695","EUR","GBR","HG00251"
"696","EUR","GBR","HG00252"
"697","EUR","GBR","HG00253"
"698","EUR","GBR","HG00254"
"699","EUR","GBR","HG00255"
"700","EUR","GBR","HG00256"
"701","EUR","GBR","HG00257"
"702","EUR","GBR","HG00258"
"703","EUR","GBR","HG00259"
"704","EUR","GBR","HG00260"
"705","EUR","GBR","HG00261"
"706","EUR","GBR","HG00262"
"707","EUR","GBR","HG00263"
"708","EUR","GBR","HG00264"
"709","EUR","GBR","HG00265"
"710","EUR","FIN","HG00266"
"711","EUR","FIN","HG00267"
"712","EUR","FIN","HG00268"
"713","EUR","FIN","HG00269"
"714","EUR","FIN","HG00271"
"715","EUR","FIN","HG00272"
"716","EUR","FIN","HG00273"
"717","EUR","FIN","HG00274"
"718","EUR","FIN","HG00275"
"719","EUR","FIN","HG00276"
"720","EUR","FIN","HG00277"
"721","EUR","FIN","HG00278"
"722","EUR","FIN","HG00280"
"723","EUR","FIN","HG00281"
"724","EUR","FIN","HG00282"
"725","EUR","FIN","HG00284"
"726","EUR","FIN","HG00285"
"727","EUR","FIN","HG00288"
"728","EUR","FIN","HG00290"
"729","EUR","FIN","HG00304"
"730","EUR","FIN","HG00306"
"731","EUR","FIN","HG00308"
"732","EUR","FIN","HG00309"
"733","EUR","FIN","HG00310"
"734","EUR","FIN","HG00311"
"735","EUR","FIN","HG00313"
"736","EUR","FIN","HG00315"
"737","EUR","FIN","HG00318"
"738","EUR","FIN","HG00319"
"739","EUR","FIN","HG00320"
"740","EUR","FIN","HG00321"
"741","EUR","FIN","HG00323"
"742","EUR","FIN","HG00324"
"743","EUR","FIN","HG00325"
"744","EUR","FIN","HG00326"
"745","EUR","FIN","HG00327"
"746","EUR","FIN","HG00328"
"747","EUR","FIN","HG00329"
"748","EUR","FIN","HG00330"
"749","EUR","FIN","HG00331"
"750","EUR","FIN","HG00332"
"751","EUR","FIN","HG00334"
"752","EUR","FIN","HG00335"
"753","EUR","FIN","HG00336"
"754","EUR","FIN","HG00337"
"755","EUR","FIN","HG00338"
"756","EUR","FIN","HG00339"
"757","EUR","FIN","HG00341"
"758","EUR","FIN","HG00342"
"759","EUR","FIN","HG00343"
"760","EUR","FIN","HG00344"
"761","EUR","FIN","HG00345"
"762","EUR","FIN","HG00346"
"763","EUR","FIN","HG00349"
"764","EUR","FIN","HG00350"
"765","EUR","FIN","HG00351"
"766","EUR","FIN","HG00353"
"767","EUR","FIN","HG00355"
"768","EUR","FIN","HG00356"
"769","EUR","FIN","HG00357"
"770","EUR","FIN","HG00358"
"771","EUR","FIN","HG00360"
"772","EUR","FIN","HG00361"
"773","EUR","FIN","HG00362"
"774","EUR","FIN","HG00364"
"775","EUR","FIN","HG00365"
"776","EUR","FIN","HG00366"
"777","EUR","FIN","HG00367"
"778","EUR","FIN","HG00368"
"779","EUR","FIN","HG00369"
"780","EUR","FIN","HG00371"
"781","EUR","FIN","HG00372"
"782","EUR","FIN","HG00373"
"783","EUR","FIN","HG00375"
"784","EUR","FIN","HG00376"
"785","EUR","FIN","HG00378"
"786","EUR","FIN","HG00379"
"787","EUR","FIN","HG00380"
"788","EUR","FIN","HG00381"
"789","EUR","FIN","HG00382"
"790","EUR","FIN","HG00383"
"791","EUR","FIN","HG00384"
"792","EAS","CHS","HG00403"
"793","EAS","CHS","HG00404"
"794","EAS","CHS","HG00406"
"795","EAS","CHS","HG00407"
"796","EAS","CHS","HG00409"
"797","EAS","CHS","HG00410"
"798","EAS","CHS","HG00419"
"799","EAS","CHS","HG00421"
"800","EAS","CHS","HG00422"
"801","EAS","CHS","HG00428"
"802","EAS","CHS","HG00436"
"803","EAS","CHS","HG00437"
"804","EAS","CHS","HG00442"
"805","EAS","CHS","HG00443"
"806","EAS","CHS","HG00445"
"807","EAS","CHS","HG00446"
"808","EAS","CHS","HG00448"
"809","EAS","CHS","HG00449"
"810","EAS","CHS","HG00451"
"811","EAS","CHS","HG00452"
"812","EAS","CHS","HG00457"
"813","EAS","CHS","HG00458"
"814","EAS","CHS","HG00463"
"815","EAS","CHS","HG00464"
"816","EAS","CHS","HG00472"
"817","EAS","CHS","HG00473"
"818","EAS","CHS","HG00475"
"819","EAS","CHS","HG00476"
"820","EAS","CHS","HG00478"
"821","EAS","CHS","HG00479"
"822","EAS","CHS","HG00500"
"823","EAS","CHS","HG00513"
"824","EAS","CHS","HG00524"
"825","EAS","CHS","HG00525"
"826","EAS","CHS","HG00530"
"827","EAS","CHS","HG00531"
"828","EAS","CHS","HG00533"
"829","EAS","CHS","HG00534"
"830","EAS","CHS","HG00536"
"831","EAS","CHS","HG00537"
"832","EAS","CHS","HG00542"
"833","EAS","CHS","HG00543"
"834","AMR","PUR","HG00551"
"835","AMR","PUR","HG00553"
"836","AMR","PUR","HG00554"
"837","EAS","CHS","HG00556"
"838","EAS","CHS","HG00557"
"839","EAS","CHS","HG00559"
"840","EAS","CHS","HG00560"
"841","EAS","CHS","HG00565"
